date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:27	16673/16673	---M--	200	added ('OK')	application/javascript	date:Tue,%2029%20Nov%202016%2009:26:50%20GMT	http://themestarz.net/html/propper/assets/js/custom.js	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/js/custom.js	(from http://themestarz.net/html/propper/index-v1.html)
16:39:36	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:22%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.eot?v=4.4.0	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.eot	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
16:39:37	64464/64464	---M--	200	added ('OK')	font/woff2	date:Thu,%2001%20Sep%202016%2017:09:36%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.woff2?v=4.4.0	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.woff2	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
16:39:37	68875/68875	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:22%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.eot?	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fontawesome-webfontd41d.eot	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
16:39:41	355981/355981	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Sep%202016%2017:09:29%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.svg?v=4.4.0	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.svg	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
16:39:43	81284/81284	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Sep%202016%2017:09:35%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.woff?v=4.4.0	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.woff	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
16:39:50	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:42%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.eot	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.eot	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
16:39:53	63664/63664	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Sep%202016%2017:09:51%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.woff	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.woff	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
16:39:53	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:42%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.eot?	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fonts/ElegantIconsd41d.eot	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
16:39:56	277297/277297	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Sep%202016%2017:09:47%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.svg	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.svg	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
16:40:00	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:08:56%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
16:40:00	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:08:56%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
16:40:01	138204/138204	---M--	200	added ('OK')	font/ttf	date:Thu,%2001%20Sep%202016%2017:09:32%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.ttf?v=4.4.0	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.ttf	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
16:40:01	59388/59388	---M--	200	added ('OK')	font/ttf	date:Thu,%2001%20Sep%202016%2017:09:49%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.ttf	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.ttf	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
16:40:04	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Sep%202016%2017:08:58%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
16:40:04	18028/18028	---M--	200	added ('OK')	font/woff2	date:Thu,%2001%20Sep%202016%2017:09:02%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
16:40:05	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Aug%202021%2005:14:45%20GMT	http://themestarz.net/html/propper/assets/css/owl.video.play.png	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/css/owl.video.play.png	(from http://themestarz.net/html/propper/assets/css/owl.carousel.css)
16:40:05	23424/23424	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Sep%202016%2017:09:01%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
16:40:06	45404/45404	---M--	200	added ('OK')	font/ttf	date:Thu,%2001%20Sep%202016%2017:09:00%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	D:/SOFT/Projects/realestate/free%20template/rea-template-1/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
